Gene_Symbol,GLP1_log2FC,GLP1_padj,Berberine_log2FC,Berberine_padj
Gabrr2,-1.7858951248766493,1.5627573332743809e-06,-3.486598868791468,0.0042826357574629
Peg10,-1.1173556873091304,8.00473830276205e-06,-3.062807265163388,0.0001960949339745
F730043M19Rik,-0.3657811394054385,8.300311897994716e-06,-1.9131588807566944,0.0015811891202379
Gm47416,-0.8577029913121963,1.4574187387621058e-05,-2.2355929544639204,0.006542553199505
Syp,-0.6353860797153977,4.625320294924484e-05,-2.3162744433583926,5.035574108762754e-05
Sbds,-0.2712000191363963,0.0001282351730606,-0.6051957503308627,0.0288253073213509
Gtpbp4,-0.1288446040706516,0.0006680317237237,-0.5516053508084088,0.0134113519365898
Tmem120b,-0.4831719465483269,0.0007452922654664,-1.6367546567699731,0.0045337493738279
Sptan1,-0.2503733132199847,0.0008226345781095,-1.113258491363476,0.0321330704375179
Sfrp5,-0.8551622969462795,0.0009946707418372,-2.891696140481841,0.0030419157100302
Sptbn1,-0.3717724608459808,0.0014319023329994,-1.5104670826522244,0.0414478934045223
Tmem184c,-0.1076578070553127,0.0016096452910376,-0.3385716496136247,0.0422974054764036
Ppp2r1b,-0.3820521141678566,0.0019343330383147,-0.8773423963053808,0.0017442284073966
Irs3,-0.6596431674756402,0.0019573897196433,-2.022886603100473,0.0341767781420224
Zfand3,-0.2607463568432009,0.0021005097676279,-0.6164917561418658,0.0275350437750292
Slc24a3,-0.3391240630963856,0.0024376273351518,-1.44717961303206,0.0407013797385043
Cdc42ep3,-0.5661844084856994,0.0024377123875141,-1.171380446058624,0.0332379163013974
Maml2,-0.3040534607306585,0.0029544918603069,-0.8802139925793051,0.0332166538168339
BC051226,-0.4153318351368892,0.0037011549646737,-1.0033416554515506,0.0457472880480508
Zfp970,-0.5200431652009866,0.0044363337296601,-1.595495979551511,0.0035257696943904
Crim1,-0.3756161826252756,0.0044584094853777,-1.1022407880603753,0.0418309269035307
Hspd1-ps4,-0.6346109457574468,0.0046547668950074,-1.8119562634756008,0.0452867388251519
Adamts5,-0.4235896188989,0.0055104266134607,-2.0519020782641624,0.0119944139692382
Lep,-0.4272944167636446,0.0055240178023488,-3.1705426145525704,0.0006540438864241
Ankrd40,-0.263064906126344,0.0059959779746902,-0.8304674525103356,0.0142447700016206
Rock2,-0.3031277018550038,0.0061753360138744,-1.3775559353290587,0.0118628801493655
Mettl16,-0.1380009074825262,0.0065755429554193,-0.4719077086724496,0.0098414357592182
Heatr6,-0.0943543425149547,0.0070847805509102,-0.3679482183249553,0.0112223536036005
Gm10037,-0.5128950148356773,0.007626305877599,-1.2458721022036918,0.0368959819747213
Tsc22d2,-0.3740755387637289,0.0081932982342737,-2.045772732132657,0.0006640328380807
Gm4876,-0.5610662602739238,0.0084645794589294,-2.0074590926454543,0.0417017369663357
Synpo2,-0.5183582569015316,0.0087761582247954,-2.180434470650233,0.0071570107108514
Cdr2,-0.4236083142227522,0.0120623517177652,-2.089466354295588,0.0114636688608862
Mpdz,-0.2917761273662486,0.0148064162495709,-1.3960333978000672,0.0459147663694349
Gm5578,-0.2801332771192898,0.0163940714799695,-1.723068135609077,0.0199448571002621
Fgfrl1,-0.3562551509289263,0.0173268597906123,-1.918641782953936,0.0144333375701538
Dock8,-0.3100848332686204,0.0181624326328934,-2.246425778925812,0.0005091394585239
Fbxo22,-0.1617466305907537,0.0209533798121193,-0.7582172291515027,0.0098997822765724
Adamts1,-0.4550171388395451,0.0216759765392408,-1.9572559261540456,0.0093495827978055
Btc,-0.8529688379685403,0.027168346244782,-1.877731156489056,0.0385475241269769
Spg21,-0.1336344087705768,0.0288978379262582,-0.7355874364486207,0.0274571376085366
Gask1b,-0.2552472097500302,0.0291144236940246,-2.34565066099495,0.0011322688338482
Gm4204,-0.299118312093871,0.0293344108362787,-1.7853029798660147,0.006693917015666
Epha2,-0.3357048505841508,0.0294697618307129,-1.3701616917246089,0.0447932978065064
Gm5627,-0.4241127294935376,0.0295794881056428,-2.7220303897716205,0.0193969743266931
Gm19426,-0.5637109366129474,0.0314290129563799,-1.9997329274654951,0.0266406418363608
Polr2c,-0.1219726306445086,0.0323567757480128,-0.2573015836781835,0.0438584795859262
Prr32,-0.4130294195635097,0.0326139696601895,-2.3960299775119527,0.0040353408870221
Rnasel,-0.2041974330411088,0.0333220998952029,-1.391645411175065,0.0011349147582655
Cltb,-0.2183692701739949,0.0365073450284089,-0.9831060203539644,0.0325787018907624
Emc2,-0.1650882655874924,0.0401956001827686,-0.8107229488271313,0.0435853498211202
Morc4,-0.3144564594077885,0.0435565759748202,-1.4033836124301875,0.000893022036365
Duoxa1,-0.3187213819123821,0.0445271257174011,-3.3792410939567383,0.0036103634735401
Daxx,-0.2266100188088061,0.0458704800049332,-1.1241248499827097,0.0079201885366823
Gm10171,-0.1766247755156121,0.0462979384158359,-1.2167354977541112,0.0010965963485971
Iscu,-0.1665520295954723,0.0480690122139496,-1.0693771139543358,0.0046981443710995
Pde7a,-0.2663448042417043,0.0490635985888521,-1.1692632566891927,0.0143632126078902
